TaskID,SourceRegion,TargetRegion,ArrivalHour,StartHour,EndHour,NetworkLatency_ms,GPU_Demand,TaskType
7902,RegionE,RegionE,2376,2376.0,2376.4333333333334,5.0,11.0,BatchInference
7973,RegionE,RegionE,2379,2379.0,2380.116666666667,5.0,70.0,AITraining
8294,RegionC,RegionC,2395,2395.0,2396.0333333333333,5.0,8.0,BatchInference
8353,RegionB,RegionB,2386,2386.0,2387.25,5.0,5.0,RealTimeInference
8745,RegionB,RegionB,2398,2398.0,2400.1,5.0,21.0,BatchInference
8760,RegionE,RegionE,2390,2390.0,2394.583333333333,5.0,44.0,AITraining
8915,RegionD,RegionD,2392,2392.0,2392.8166666666666,5.0,97.0,AITraining
8972,RegionD,RegionD,2398,2398.0,2402.1,5.0,2.0,RealTimeInference
9168,RegionC,RegionC,2387,2387.0,2389.35,5.0,3.0,RealTimeInference
9267,RegionE,RegionE,2376,2376.0,2376.366666666667,5.0,7.0,BatchInference
9415,RegionD,RegionD,2376,2376.0,2377.4666666666667,5.0,119.0,AITraining
9535,RegionE,RegionE,2387,2387.0,2392.633333333333,5.0,58.0,AITraining
9572,RegionD,RegionD,2398,2398.0,2404.0666666666666,5.0,123.0,AITraining
9585,RegionB,RegionB,2381,2381.0,2383.0333333333333,5.0,7.0,RealTimeInference
9591,RegionD,RegionD,2378,2378.0,2381.1833333333334,5.0,27.0,AITraining
9621,RegionC,RegionC,2399,2399.0,2400.333333333333,5.0,6.0,RealTimeInference
9845,RegionF,RegionF,2379,2379.0,2379.9166666666665,5.0,102.0,AITraining
9850,RegionE,RegionE,2387,2387.0,2392.733333333333,5.0,13.0,BatchInference
9936,RegionC,RegionC,2385,2385.0,2386.516666666667,5.0,5.0,RealTimeInference
10184,RegionD,RegionD,2390,2390.0,2392.7833333333333,5.0,15.0,BatchInference
10275,RegionE,RegionE,2386,2386.0,2388.083333333333,5.0,38.0,AITraining
10284,RegionF,RegionF,2396,2396.0,2398.2833333333333,5.0,14.0,BatchInference
10306,RegionD,RegionD,2384,2384.0,2388.5333333333333,5.0,68.0,AITraining
10407,RegionC,RegionC,2389,2389.0,2391.366666666667,5.0,7.0,RealTimeInference
10504,RegionC,RegionC,2396,2396.0,2397.15,5.0,4.0,BatchInference
10622,RegionC,RegionC,2379,2379.0,2384.5666666666666,5.0,23.0,BatchInference
10704,RegionF,RegionF,2382,2382.0,2383.083333333333,5.0,110.0,AITraining
11216,RegionA,RegionA,2379,2379.0,2384.116666666667,5.0,20.0,BatchInference
11304,RegionD,RegionD,2383,2383.0,2384.1666666666665,5.0,112.0,AITraining
11351,RegionD,RegionD,2394,2394.0,2398.35,5.0,16.0,BatchInference
11360,RegionE,RegionE,2384,2384.0,2390.5666666666666,5.0,3.0,RealTimeInference
11383,RegionC,RegionC,2380,2380.0,2381.85,5.0,22.0,BatchInference
11780,RegionF,RegionF,2398,2398.0,2398.583333333333,5.0,21.0,BatchInference
11834,RegionB,RegionB,2386,2386.0,2391.866666666667,5.0,19.0,BatchInference
11877,RegionC,RegionC,2382,2382.0,2383.383333333333,5.0,7.0,RealTimeInference
11961,RegionE,RegionE,2376,2376.0,2380.1,5.0,111.0,AITraining
11993,RegionC,RegionC,2382,2382.0,2385.9333333333334,5.0,15.0,BatchInference
12025,RegionA,RegionA,2387,2387.0,2387.65,5.0,2.0,RealTimeInference
12181,RegionC,RegionC,2381,2381.0,2383.366666666667,5.0,68.0,AITraining
12184,RegionD,RegionD,2393,2393.0,2393.25,5.0,5.0,BatchInference
12397,RegionA,RegionA,2391,2391.0,2391.616666666667,5.0,101.0,AITraining
12431,RegionB,RegionB,2396,2396.0,2399.2833333333333,5.0,17.0,BatchInference
12444,RegionA,RegionA,2394,2394.0,2398.483333333333,5.0,1.0,RealTimeInference
12481,RegionC,RegionC,2395,2395.0,2397.9166666666665,5.0,5.0,RealTimeInference
12755,RegionE,RegionE,2383,2383.0,2386.05,5.0,51.0,AITraining
12791,RegionA,RegionA,2383,2383.0,2383.866666666667,5.0,4.0,BatchInference
13174,RegionB,RegionB,2394,2394.0,2394.1666666666665,5.0,6.0,RealTimeInference
13251,RegionA,RegionA,2395,2395.0,2395.7833333333333,5.0,6.0,RealTimeInference
13331,RegionB,RegionB,2383,2383.0,2383.8166666666666,5.0,1.0,RealTimeInference
13376,RegionD,RegionD,2394,2394.0,2396.383333333333,5.0,53.0,AITraining
13381,RegionA,RegionA,2398,2398.0,2400.083333333333,5.0,6.0,RealTimeInference
13505,RegionE,RegionE,2382,2382.0,2386.2833333333333,5.0,6.0,RealTimeInference
13587,RegionD,RegionD,2381,2381.0,2387.5333333333333,5.0,23.0,AITraining
13747,RegionF,RegionF,2389,2389.0,2395.6,5.0,41.0,AITraining
13836,RegionD,RegionD,2391,2391.0,2397.4,5.0,40.0,AITraining
14305,RegionD,RegionD,2391,2391.0,2395.6666666666665,5.0,2.0,RealTimeInference
14327,RegionB,RegionB,2394,2394.0,2399.55,5.0,21.0,BatchInference
14405,RegionA,RegionA,2379,2379.0,2381.583333333333,5.0,18.0,BatchInference
14419,RegionD,RegionD,2379,2379.0,2385.4333333333334,5.0,104.0,AITraining
14578,RegionE,RegionE,2396,2396.0,2402.25,5.0,31.0,AITraining
14619,RegionF,RegionF,2394,2394.0,2400.616666666667,5.0,117.0,AITraining
14622,RegionB,RegionB,2386,2386.0,2389.6666666666665,5.0,23.0,BatchInference
14647,RegionA,RegionA,2376,2376.0,2377.233333333333,5.0,11.0,BatchInference
14669,RegionB,RegionB,2385,2385.0,2389.616666666667,5.0,6.0,RealTimeInference
14749,RegionE,RegionE,2389,2389.0,2392.15,5.0,97.0,AITraining
14772,RegionA,RegionA,2382,2382.0,2387.116666666667,5.0,12.0,BatchInference
14780,RegionD,RegionD,2377,2377.0,2381.483333333333,5.0,32.0,AITraining
14844,RegionB,RegionB,2396,2396.0,2400.15,5.0,51.0,AITraining
14868,RegionF,RegionF,2396,2396.0,2402.45,5.0,22.0,AITraining
15175,RegionB,RegionB,2396,2396.0,2398.9166666666665,5.0,6.0,RealTimeInference
15185,RegionA,RegionA,2382,2382.0,2382.883333333333,5.0,1.0,RealTimeInference
15242,RegionE,RegionE,2399,2399.0,2403.05,5.0,7.0,BatchInference
15675,RegionF,RegionF,2390,2390.0,2392.983333333333,5.0,87.0,AITraining
15694,RegionE,RegionE,2386,2386.0,2388.866666666667,5.0,63.0,AITraining
15916,RegionE,RegionE,2397,2397.0,2400.383333333333,5.0,81.0,AITraining
15921,RegionD,RegionD,2394,2394.0,2397.9166666666665,5.0,127.0,AITraining
16024,RegionF,RegionF,2392,2392.0,2395.35,5.0,1.0,RealTimeInference
16041,RegionB,RegionB,2394,2394.0,2394.9166666666665,5.0,5.0,RealTimeInference
16109,RegionF,RegionF,2389,2389.0,2391.9166666666665,5.0,7.0,BatchInference
16116,RegionA,RegionA,2382,2382.0,2387.333333333333,5.0,7.0,BatchInference
16146,RegionE,RegionE,2378,2378.0,2378.3,5.0,60.0,AITraining
16274,RegionA,RegionA,2388,2388.0,2394.05,5.0,21.0,BatchInference
16345,RegionF,RegionF,2393,2393.0,2396.233333333333,5.0,9.0,BatchInference
16494,RegionD,RegionD,2395,2395.0,2397.6833333333334,5.0,22.0,BatchInference
16513,RegionE,RegionE,2390,2390.0,2395.833333333333,5.0,107.0,AITraining
16699,RegionF,RegionF,2393,2393.0,2394.7,5.0,127.0,AITraining
16844,RegionF,RegionF,2399,2399.0,2399.85,5.0,1.0,RealTimeInference
16950,RegionA,RegionA,2384,2384.0,2386.5333333333333,5.0,6.0,RealTimeInference
17044,RegionC,RegionC,2389,2389.0,2389.6,5.0,6.0,BatchInference
17052,RegionC,RegionC,2398,2398.0,2398.55,5.0,2.0,RealTimeInference
17181,RegionD,RegionD,2387,2387.0,2388.7,5.0,82.0,AITraining
17233,RegionD,RegionD,2390,2390.0,2393.8,5.0,122.0,AITraining
17421,RegionF,RegionF,2398,2398.0,2400.35,5.0,15.0,BatchInference
17466,RegionE,RegionE,2380,2380.0,2383.85,5.0,20.0,BatchInference
17673,RegionD,RegionD,2392,2392.0,2398.616666666667,5.0,124.0,AITraining
17820,RegionC,RegionC,2376,2376.0,2377.25,5.0,1.0,RealTimeInference
17864,RegionD,RegionD,2378,2378.0,2379.7,5.0,120.0,AITraining
17898,RegionE,RegionE,2391,2391.0,2393.65,5.0,78.0,AITraining
17938,RegionE,RegionE,2398,2398.0,2402.266666666667,5.0,23.0,BatchInference
17991,RegionF,RegionF,2388,2389.0,2391.266666666667,5.0,26.0,AITraining
18061,RegionC,RegionC,2388,2388.0,2393.0666666666666,5.0,9.0,BatchInference
18201,RegionE,RegionE,2376,2376.0,2376.6666666666665,5.0,16.0,BatchInference
18325,RegionF,RegionF,2385,2385.0,2388.45,5.0,58.0,AITraining
18367,RegionA,RegionA,2391,2391.0,2396.766666666667,5.0,19.0,BatchInference
18394,RegionA,RegionA,2396,2396.0,2401.4333333333334,5.0,3.0,RealTimeInference
18427,RegionB,RegionB,2378,2378.0,2382.45,5.0,18.0,BatchInference
18687,RegionE,RegionE,2391,2391.0,2392.45,5.0,5.0,RealTimeInference
18713,RegionF,RegionF,2380,2380.0,2381.083333333333,5.0,38.0,AITraining
18720,RegionF,RegionF,2381,2382.0,2382.866666666667,5.0,120.0,AITraining
18826,RegionA,RegionA,2392,2392.0,2396.5333333333333,5.0,17.0,BatchInference
18847,RegionB,RegionB,2391,2391.0,2395.516666666667,5.0,8.0,BatchInference
18869,RegionD,RegionD,2386,2386.0,2390.4333333333334,5.0,7.0,BatchInference
18905,RegionA,RegionA,2381,2381.0,2385.1833333333334,5.0,12.0,BatchInference
19172,RegionC,RegionC,2398,2398.0,2401.3166666666666,5.0,6.0,RealTimeInference
19264,RegionD,RegionD,2386,2386.0,2389.333333333333,5.0,4.0,RealTimeInference
19289,RegionE,RegionE,2398,2398.0,2404.016666666667,5.0,121.0,AITraining
19387,RegionE,RegionE,2392,2392.0,2395.766666666667,5.0,104.0,AITraining
19440,RegionE,RegionE,2382,2382.0,2384.0666666666666,5.0,23.0,BatchInference
19584,RegionE,RegionE,2387,2387.0,2392.8166666666666,5.0,43.0,AITraining
19682,RegionD,RegionD,2390,2390.0,2395.233333333333,5.0,11.0,BatchInference
19684,RegionF,RegionF,2378,2378.0,2380.016666666667,5.0,9.0,BatchInference
19693,RegionA,RegionA,2386,2386.0,2387.2,5.0,4.0,RealTimeInference
20139,RegionD,RegionD,2381,2381.0,2384.4166666666665,5.0,71.0,AITraining
20312,RegionD,RegionD,2396,2396.0,2400.133333333333,5.0,16.0,BatchInference
20392,RegionF,RegionF,2377,2377.0,2382.583333333333,5.0,110.0,AITraining
20403,RegionD,RegionD,2388,2388.0,2391.983333333333,5.0,14.0,BatchInference
20632,RegionC,RegionC,2386,2386.0,2389.0666666666666,5.0,14.0,BatchInference
20799,RegionF,RegionF,2397,2397.0,2400.4,5.0,14.0,BatchInference
20964,RegionB,RegionB,2380,2380.0,2383.5,5.0,112.0,AITraining
20965,RegionA,RegionA,2377,2377.0,2379.633333333333,5.0,2.0,RealTimeInference
21103,RegionA,RegionA,2383,2383.0,2384.8,5.0,7.0,RealTimeInference
21242,RegionB,RegionB,2390,2390.0,2391.1,5.0,1.0,RealTimeInference
21356,RegionF,RegionF,2388,2388.0,2393.133333333333,5.0,125.0,AITraining
21384,RegionC,RegionC,2377,2377.0,2380.633333333333,5.0,110.0,AITraining
21400,RegionB,RegionB,2399,2399.0,2400.6833333333334,5.0,1.0,RealTimeInference
21428,RegionC,RegionC,2387,2387.0,2389.366666666667,5.0,5.0,RealTimeInference
21451,RegionD,RegionD,2394,2394.0,2398.2166666666667,5.0,34.0,AITraining
21730,RegionF,RegionF,2397,2397.0,2401.8166666666666,5.0,49.0,AITraining
21792,RegionA,RegionA,2392,2392.0,2397.266666666667,5.0,4.0,RealTimeInference
21837,RegionD,RegionD,2388,2388.0,2392.266666666667,5.0,59.0,AITraining
21897,RegionA,RegionA,2393,2393.0,2394.5333333333333,5.0,3.0,RealTimeInference
22136,RegionE,RegionE,2398,2398.0,2399.3166666666666,5.0,7.0,BatchInference
22175,RegionE,RegionE,2383,2383.0,2389.516666666667,5.0,112.0,AITraining
22360,RegionD,RegionD,2398,2398.0,2398.1833333333334,5.0,6.0,RealTimeInference
22462,RegionC,RegionC,2381,2381.0,2383.3,5.0,23.0,BatchInference
22576,RegionF,RegionF,2395,2395.0,2398.083333333333,5.0,16.0,AITraining
22636,RegionF,RegionF,2377,2377.0,2381.1666666666665,5.0,2.0,RealTimeInference
22705,RegionE,RegionE,2385,2385.0,2387.25,5.0,80.0,AITraining
22706,RegionC,RegionC,2391,2391.0,2391.75,5.0,2.0,RealTimeInference
22852,RegionF,RegionF,2386,2386.0,2391.75,5.0,62.0,AITraining
22871,RegionE,RegionE,2381,2381.0,2384.8166666666666,5.0,7.0,BatchInference
22890,RegionC,RegionC,2384,2384.0,2385.8,5.0,3.0,RealTimeInference
22926,RegionA,RegionA,2377,2377.0,2380.4666666666667,5.0,19.0,BatchInference
22937,RegionF,RegionF,2386,2386.0,2388.2833333333333,5.0,52.0,AITraining
23146,RegionC,RegionC,2387,2387.0,2392.55,5.0,3.0,RealTimeInference
23364,RegionE,RegionE,2392,2392.0,2393.9166666666665,5.0,5.0,RealTimeInference
23381,RegionD,RegionD,2394,2394.0,2398.0,5.0,15.0,BatchInference
23421,RegionE,RegionE,2398,2398.0,2402.4,5.0,19.0,AITraining
23424,RegionA,RegionA,2379,2379.0,2385.616666666667,5.0,5.0,RealTimeInference
23479,RegionD,RegionD,2377,2377.0,2379.1833333333334,5.0,113.0,AITraining
23514,RegionF,RegionF,2385,2385.0,2388.85,5.0,76.0,AITraining
23544,RegionB,RegionB,2393,2393.0,2395.25,5.0,1.0,RealTimeInference
23667,RegionA,RegionA,2386,2386.0,2391.2166666666667,5.0,15.0,BatchInference
23682,RegionB,RegionB,2396,2396.0,2400.616666666667,5.0,7.0,RealTimeInference
23708,RegionB,RegionB,2387,2387.0,2388.6666666666665,5.0,7.0,RealTimeInference
23890,RegionA,RegionA,2385,2385.0,2389.7833333333333,5.0,5.0,RealTimeInference
23936,RegionD,RegionD,2389,2389.0,2392.833333333333,5.0,127.0,AITraining
24073,RegionB,RegionB,2395,2395.0,2396.5333333333333,5.0,110.0,AITraining
24255,RegionE,RegionE,2397,2397.0,2399.1,5.0,20.0,BatchInference
24477,RegionD,RegionD,2393,2393.0,2394.133333333333,5.0,16.0,BatchInference
24568,RegionB,RegionB,2378,2378.0,2380.4166666666665,5.0,4.0,RealTimeInference
24572,RegionA,RegionA,2390,2390.0,2395.05,5.0,9.0,BatchInference
24641,RegionD,RegionD,2383,2383.0,2384.4,5.0,12.0,BatchInference
24714,RegionC,RegionC,2380,2380.0,2385.4166666666665,5.0,5.0,RealTimeInference
24748,RegionE,RegionE,2384,2384.0,2387.116666666667,5.0,1.0,RealTimeInference
24774,RegionF,RegionF,2380,2380.0,2381.733333333333,5.0,16.0,BatchInference
24949,RegionD,RegionD,2386,2386.0,2387.016666666667,5.0,16.0,BatchInference
24995,RegionD,RegionD,2396,2396.0,2397.05,5.0,10.0,BatchInference
25000,RegionB,RegionB,2387,2387.0,2388.65,5.0,6.0,RealTimeInference
25215,RegionA,RegionA,2391,2391.0,2394.4333333333334,5.0,5.0,RealTimeInference
25467,RegionB,RegionB,2385,2385.0,2387.866666666667,5.0,6.0,RealTimeInference
25631,RegionD,RegionD,2392,2392.0,2396.7166666666667,5.0,18.0,BatchInference
25757,RegionE,RegionE,2377,2377.0,2382.366666666667,5.0,17.0,BatchInference
25763,RegionE,RegionE,2391,2391.0,2395.833333333333,5.0,114.0,AITraining
25795,RegionE,RegionE,2390,2390.0,2391.7166666666667,5.0,46.0,AITraining
25839,RegionA,RegionA,2378,2378.0,2383.483333333333,5.0,1.0,RealTimeInference
26136,RegionE,RegionE,2390,2390.0,2390.866666666667,5.0,120.0,AITraining
26377,RegionB,RegionB,2376,2376.0,2382.4333333333334,5.0,17.0,BatchInference
26569,RegionB,RegionB,2384,2384.0,2385.1,5.0,5.0,RealTimeInference
26584,RegionF,RegionF,2380,2381.0,2382.0666666666666,5.0,125.0,AITraining
26590,RegionF,RegionF,2385,2385.0,2389.9166666666665,5.0,27.0,AITraining
26779,RegionB,RegionB,2384,2384.0,2385.75,5.0,2.0,RealTimeInference
26783,RegionA,RegionA,2377,2377.0,2379.3,5.0,16.0,BatchInference
26788,RegionF,RegionF,2386,2386.0,2391.2833333333333,5.0,12.0,BatchInference
26836,RegionA,RegionA,2396,2396.0,2400.5333333333333,5.0,7.0,RealTimeInference
27016,RegionD,RegionD,2378,2378.0,2379.1833333333334,5.0,23.0,BatchInference
27109,RegionF,RegionF,2384,2384.0,2389.0,5.0,99.0,AITraining
27293,RegionF,RegionF,2388,2388.0,2393.333333333333,5.0,50.0,AITraining
27301,RegionA,RegionA,2392,2392.0,2395.2,5.0,5.0,BatchInference
27485,RegionA,RegionA,2393,2393.0,2395.4333333333334,5.0,5.0,RealTimeInference
27509,RegionF,RegionF,2377,2377.0,2383.516666666667,5.0,113.0,AITraining
27547,RegionD,RegionD,2397,2397.0,2397.9666666666667,5.0,17.0,BatchInference
27636,RegionA,RegionA,2388,2388.0,2392.233333333333,5.0,7.0,RealTimeInference
27637,RegionD,RegionD,2391,2391.0,2391.516666666667,5.0,50.0,AITraining
27713,RegionF,RegionF,2387,2387.0,2388.5333333333333,5.0,87.0,AITraining
27964,RegionD,RegionD,2396,2396.0,2402.4166666666665,5.0,25.0,AITraining
28123,RegionD,RegionD,2385,2385.0,2388.116666666667,5.0,30.0,AITraining
28161,RegionB,RegionB,2381,2381.0,2385.2166666666667,5.0,4.0,BatchInference
28165,RegionE,RegionE,2387,2387.0,2387.4166666666665,5.0,13.0,BatchInference
28388,RegionF,RegionF,2385,2385.0,2389.8,5.0,85.0,AITraining
28488,RegionA,RegionA,2392,2392.0,2392.65,5.0,14.0,BatchInference
28656,RegionC,RegionC,2396,2396.0,2397.333333333333,5.0,4.0,RealTimeInference
28664,RegionF,RegionF,2393,2393.0,2399.25,5.0,96.0,AITraining
28667,RegionB,RegionB,2380,2380.0,2381.2,5.0,6.0,RealTimeInference
28692,RegionA,RegionA,2388,2388.0,2392.3,5.0,3.0,RealTimeInference
28753,RegionE,RegionE,2396,2396.0,2397.75,5.0,74.0,AITraining
28923,RegionC,RegionC,2392,2392.0,2393.85,5.0,14.0,BatchInference
28952,RegionC,RegionC,2387,2387.0,2389.05,5.0,7.0,RealTimeInference
29239,RegionB,RegionB,2386,2386.0,2390.016666666667,5.0,2.0,RealTimeInference
29306,RegionE,RegionE,2387,2387.0,2387.6,5.0,20.0,BatchInference
29364,RegionE,RegionE,2390,2390.0,2391.2833333333333,5.0,111.0,AITraining
29402,RegionC,RegionC,2384,2384.0,2387.133333333333,5.0,17.0,BatchInference
29425,RegionF,RegionF,2378,2378.0,2381.883333333333,5.0,98.0,AITraining
29589,RegionE,RegionE,2377,2377.0,2378.016666666667,5.0,5.0,RealTimeInference
29651,RegionB,RegionB,2382,2382.0,2386.733333333333,5.0,7.0,RealTimeInference
29758,RegionC,RegionC,2380,2380.0,2386.15,5.0,7.0,RealTimeInference
29773,RegionA,RegionA,2387,2387.0,2388.7833333333333,5.0,6.0,RealTimeInference
29779,RegionF,RegionF,2376,2376.0,2381.6,5.0,17.0,BatchInference
29785,RegionE,RegionE,2377,2377.0,2382.5333333333333,5.0,17.0,BatchInference
29787,RegionA,RegionA,2397,2397.0,2401.1666666666665,5.0,7.0,BatchInference
30199,RegionF,RegionF,2390,2390.0,2396.233333333333,5.0,15.0,BatchInference
30207,RegionD,RegionD,2380,2380.0,2381.55,5.0,33.0,AITraining
30238,RegionD,RegionD,2379,2379.0,2383.85,5.0,6.0,RealTimeInference
30449,RegionB,RegionB,2398,2398.0,2398.266666666667,5.0,44.0,AITraining
30452,RegionE,RegionE,2391,2391.0,2394.3,5.0,55.0,AITraining
30583,RegionE,RegionE,2387,2387.0,2390.9,5.0,121.0,AITraining
30610,RegionB,RegionB,2398,2398.0,2400.6833333333334,5.0,7.0,RealTimeInference
30708,RegionB,RegionB,2379,2379.0,2385.4,5.0,1.0,RealTimeInference
30715,RegionD,RegionD,2396,2396.0,2401.3166666666666,5.0,14.0,BatchInference
30900,RegionF,RegionF,2383,2383.0,2385.1833333333334,5.0,36.0,AITraining
31011,RegionF,RegionF,2391,2391.0,2393.016666666667,5.0,58.0,AITraining
31076,RegionE,RegionE,2394,2394.0,2400.366666666667,5.0,67.0,AITraining
31191,RegionD,RegionD,2382,2382.0,2384.583333333333,5.0,65.0,AITraining
31331,RegionC,RegionC,2379,2379.0,2380.4166666666665,5.0,5.0,BatchInference
31480,RegionD,RegionD,2381,2381.0,2386.016666666667,5.0,84.0,AITraining
