Hour,Region,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,GridPurchase_MW,GridSell_MW,GridLoad_MW,GridCharge_MW,RenewableDirect_MW,RenewableCharge_MW,RenewableSell_MW,Curtailment_MW,ChargePower_MW,DischargePower_MW,SOC_MWh
30,RegionA,46.8983333333,356.301667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,0.0,64.5
31,RegionA,57.1696666667,346.030333,403.19999966669997,544.3199995500449,0.0,0.0,0.0,0.0,544.3199995500449,0.0,0.0,467.81000044995506,0.0,0.0,64.5
32,RegionA,39.9373333333,363.262667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,515.4899995500449,0.0,0.0,64.5
33,RegionA,31.461,371.739,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,545.4599999999999,0.0,0.0,64.5
34,RegionA,34.4266666667,362.323333,396.7499996667,535.612499550045,0.0,0.0,0.0,0.0,535.612499550045,0.0,0.0,564.387500449955,0.0,0.0,64.5
35,RegionA,17.9113333333,364.628667,382.5400003333,516.429000449955,0.0,0.0,0.0,0.0,516.429000449955,0.0,0.0,573.350999550045,0.0,0.0,64.5
36,RegionA,28.866,314.984,343.84999999999997,464.1975,0.0,0.0,0.0,0.0,464.1975,0.0,0.0,595.6125,0.0,0.0,64.5
37,RegionA,38.0463333333,287.213667,325.2600003333,439.10100044995505,0.0,0.0,0.0,0.0,439.10100044995505,0.0,0.0,573.028999550045,0.0,0.0,64.5
38,RegionA,35.0,277.904,312.904,422.42040000000003,0.0,0.0,0.0,0.0,422.42040000000003,0.0,0.0,527.5796,0.0,0.0,64.5
39,RegionA,29.7793333333,267.354667,297.1340003333,401.130900449955,0.0,0.0,0.0,0.0,401.130900449955,0.0,0.0,476.519099550045,0.0,0.0,64.5
40,RegionA,16.8766666667,261.053333,277.9299996667,375.205499550045,0.0,0.0,0.0,0.0,375.205499550045,0.0,0.0,424.794500449955,0.0,0.0,64.5
41,RegionA,11.5733333333,232.056667,243.63000033330002,328.900500449955,0.0,0.0,0.0,0.0,328.900500449955,0.0,0.0,393.449499550045,0.0,0.0,64.5
42,RegionA,14.3893333333,200.420667,214.8100003333,289.99350044995504,0.0,0.0,0.0,0.0,289.99350044995504,0.0,0.0,360.00649955004496,0.0,0.0,64.5
43,RegionA,18.451,201.789,220.23999999999998,297.324,0.0,0.0,0.0,0.0,297.324,0.0,0.0,290.546,0.0,0.0,64.5
44,RegionA,30.542,226.008,256.55,346.34250000000003,0.0,0.0,0.0,0.0,346.34250000000003,0.0,0.0,193.84750000000003,0.0,0.0,64.5
45,RegionA,28.4393333333,214.410667,242.8500003333,327.847500449955,0.0,0.0,0.0,0.0,327.847500449955,0.0,0.0,182.372499550045,0.0,0.0,64.5
46,RegionA,37.2476666667,271.582333,308.8299996667,416.92049955004507,0.0,0.0,0.0,0.0,416.92049955004507,0.0,0.0,83.07950044995493,0.0,0.0,64.5
47,RegionA,44.504,283.456,327.96000000000004,442.7460000000001,0.0,0.0,0.0,0.0,442.7460000000001,0.0,0.0,67.47399999999993,0.0,0.0,64.5
48,RegionA,50.0063333333,299.653667,349.6600003333,472.041000449955,0.0,0.0,0.0,0.0,472.041000449955,0.0,0.0,68.14899955004506,0.0,0.0,64.5
49,RegionA,39.4333333333,353.456667,392.8900003333,530.401500449955,0.0,0.0,0.0,0.0,530.401500449955,0.0,0.0,57.46849955004495,0.0,0.0,64.5
50,RegionA,35.644,367.556,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,105.67999999999995,0.0,0.0,64.5
51,RegionA,34.231,368.969,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,0.0,64.5
52,RegionA,36.1813333333,367.018667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,255.67999955004495,0.0,0.0,64.5
53,RegionA,37.58,365.62,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,333.3299999999999,0.0,0.0,64.5
54,RegionA,39.7526666667,363.447333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,405.68000044995495,0.0,0.0,64.5
55,RegionA,19.1293333333,384.070667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,467.80999955004495,0.0,0.0,64.5
56,RegionA,7.492,395.708,403.20000000000005,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,0.0,64.5
57,RegionA,8.361,394.839,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,545.4599999999999,0.0,0.0,64.5
58,RegionA,9.458,393.742,403.20000000000005,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,555.68,0.0,0.0,64.5
59,RegionA,5.5273333333,355.772667,361.30000033330003,487.7550004499551,0.0,0.0,0.0,0.0,487.7550004499551,0.0,0.0,602.0249995500449,0.0,0.0,64.5
60,RegionA,5.2766666667,342.323333,347.5999996667,469.25999955004505,0.0,0.0,0.0,0.0,469.25999955004505,0.0,0.0,590.550000449955,0.0,0.0,64.5
61,RegionA,5.3703333333,339.249667,344.62000033329997,465.23700044995496,0.0,0.0,0.0,0.0,465.23700044995496,0.0,0.0,546.892999550045,0.0,0.0,64.5
62,RegionA,20.72,308.241,328.961,444.09735000000006,0.0,0.0,0.0,0.0,444.09735000000006,0.0,0.0,505.90264999999994,0.0,0.0,64.5
63,RegionA,20.7773333333,286.419667,307.1970003333,414.7159504499551,0.0,0.0,0.0,0.0,414.7159504499551,0.0,0.0,462.9340495500449,0.0,0.0,64.5
64,RegionA,6.972,236.52,243.49200000000002,328.71420000000006,0.0,0.0,0.0,0.0,328.71420000000006,0.0,0.0,471.28579999999994,0.0,0.0,64.5
65,RegionA,5.1093333333,239.890667,245.00000033330002,330.75000044995505,0.0,0.0,0.0,0.0,330.75000044995505,0.0,0.0,391.59999955004497,0.0,0.0,64.5
66,RegionA,18.0146666667,209.495333,227.5099996667,307.138499550045,0.0,0.0,0.0,0.0,307.138499550045,0.0,0.0,342.861500449955,0.0,0.0,64.5
67,RegionA,25.718,168.972,194.69,262.8315,0.0,0.0,0.0,0.0,262.8315,0.0,0.0,325.0385,0.0,0.0,64.5
68,RegionA,24.1533333333,228.786667,252.9400003333,341.469000449955,0.0,0.0,0.0,0.0,341.469000449955,0.0,0.0,198.72099955004506,0.0,0.0,64.5
69,RegionA,39.435,211.915,251.35,339.3225,0.0,0.0,0.0,0.0,339.3225,0.0,0.0,170.89750000000004,0.0,0.0,64.5
70,RegionA,39.1346666667,227.495333,266.6299996667,359.950499550045,0.0,0.0,0.0,0.0,359.950499550045,0.0,0.0,140.04950044995502,0.0,0.0,64.5
71,RegionA,29.7713333333,318.438667,348.2100003333,470.083500449955,0.0,0.0,0.0,0.0,470.083500449955,0.0,0.0,40.136499550045016,0.0,0.0,64.5
72,RegionA,37.1573333333,302.842667,340.0000003333,459.00000044995505,0.0,0.0,0.0,0.0,459.00000044995505,-0.0,0.0,81.189999550045,0.0,0.0,64.5
73,RegionA,32.178,361.522,393.7,531.495,0.0,0.0,0.0,0.0,531.495,0.0,0.0,56.375,0.0,0.0,64.5
74,RegionA,31.7413333333,371.458667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,105.67999955004495,0.0,0.0,64.5
75,RegionA,26.1,377.1,403.20000000000005,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,0.0,64.5
76,RegionA,17.99,385.21,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,255.67999999999995,0.0,0.0,64.5
77,RegionA,29.36,373.84,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,333.3299999999999,0.0,0.0,64.5
78,RegionA,30.8833333333,372.316667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,0.0,64.5
79,RegionA,31.8046666667,371.395333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,467.81000044995494,0.0,0.0,64.5
80,RegionA,21.9013333333,381.298667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,515.4899995500449,0.0,0.0,64.5
81,RegionA,15.4826666667,387.717333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,545.4600004499549,0.0,0.0,64.5
82,RegionA,29.162,374.038,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,555.68,0.0,0.0,64.5
83,RegionA,36.622,354.018,390.64,527.364,0.0,0.0,0.0,0.0,527.364,0.0,0.0,562.4159999999999,0.0,0.0,64.5
84,RegionA,35.3246666667,334.495333,369.8199996667,499.25699955004507,0.0,0.0,0.0,0.0,499.25699955004507,0.0,0.0,560.5530004499549,0.0,0.0,64.5
85,RegionA,33.1113333333,307.488667,340.60000033330004,459.8100004499551,0.0,0.0,0.0,0.0,459.8100004499551,0.0,0.0,552.3199995500449,0.0,0.0,64.5
86,RegionA,28.23,275.65,303.88,410.238,0.0,0.0,0.0,0.0,410.238,0.0,0.0,539.762,0.0,0.0,64.5
87,RegionA,23.176,256.704,279.88,377.838,0.0,0.0,0.0,0.0,377.838,0.0,0.0,499.81199999999995,0.0,0.0,64.5
88,RegionA,10.3816666667,236.548333,246.9299996667,333.35549955004507,0.0,0.0,0.0,0.0,333.35549955004507,0.0,0.0,466.64450044995493,0.0,0.0,64.5
89,RegionA,11.0013333333,213.708667,224.7100003333,303.35850044995505,0.0,0.0,0.0,0.0,303.35850044995505,0.0,0.0,418.991499550045,0.0,0.0,64.5
90,RegionA,11.3246666667,216.545333,227.8699996667,307.624499550045,0.0,0.0,0.0,0.0,307.624499550045,0.0,0.0,342.375500449955,0.0,0.0,64.5
91,RegionA,27.2213333333,196.398667,223.6200003333,301.887000449955,0.0,0.0,0.0,0.0,301.887000449955,0.0,0.0,285.982999550045,0.0,0.0,64.5
92,RegionA,27.808,223.522,251.32999999999998,339.2955,0.0,0.0,0.0,0.0,339.2955,0.0,0.0,200.89450000000005,0.0,0.0,64.5
93,RegionA,30.184,242.756,272.94,368.469,0.0,0.0,0.0,0.0,368.469,0.0,0.0,141.75100000000003,0.0,0.0,64.5
94,RegionA,31.558,259.392,290.95,392.7825,0.0,0.0,0.0,0.0,392.7825,0.0,0.0,107.21749999999997,0.0,0.0,64.5
95,RegionA,11.8643333333,323.515667,335.3800003333,452.76300044995503,0.0,0.0,0.0,0.0,452.76300044995503,-0.0,0.0,57.456999550045,0.0,0.0,64.5
96,RegionA,9.0773333333,335.832667,344.9100003333,465.628500449955,0.0,0.0,0.0,0.0,465.628500449955,-0.0,0.0,74.56149955004503,0.0,0.0,64.5
97,RegionA,12.8306666667,389.929333,402.75999966669997,543.725999550045,0.0,0.0,0.0,0.0,543.725999550045,-0.0,0.0,44.144000449955,0.0,0.0,64.5
98,RegionA,13.6616666667,368.268333,381.9299996667,515.605499550045,0.0,0.0,0.0,0.0,515.605499550045,0.0,0.0,134.394500449955,0.0,0.0,64.5
99,RegionA,13.844,389.356,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,0.0,64.5
100,RegionA,11.0296666667,392.170333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,255.68000044995495,0.0,0.0,64.5
101,RegionA,11.1186666667,392.081333,403.19999966669997,544.3199995500449,0.0,0.0,0.0,0.0,544.3199995500449,0.0,0.0,333.33000044995504,0.0,0.0,64.5
102,RegionA,39.8173333333,363.382667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,0.0,64.5
103,RegionA,39.4776666667,363.722333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,467.81000044995494,0.0,0.0,64.5
104,RegionA,38.808,364.392,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,0.0,64.5
105,RegionA,40.4186666667,362.781333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,545.4600004499549,0.0,0.0,64.5
106,RegionA,30.9156666667,372.284333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,555.680000449955,0.0,0.0,64.5
107,RegionA,9.0343333333,384.015667,393.05000033330003,530.6175004499551,0.0,0.0,0.0,0.0,530.6175004499551,0.0,0.0,559.1624995500449,0.0,0.0,64.5
108,RegionA,7.632,342.648,350.28000000000003,472.87800000000004,0.0,0.0,0.0,0.0,472.87800000000004,0.0,0.0,586.9319999999999,0.0,0.0,64.5
109,RegionA,10.9713333333,325.478667,336.45000033329995,454.207500449955,0.0,0.0,0.0,0.0,454.207500449955,0.0,0.0,557.922499550045,0.0,0.0,64.5
110,RegionA,12.435,281.095,293.53000000000003,396.2655000000001,0.0,0.0,0.0,0.0,396.2655000000001,0.0,0.0,553.7344999999999,0.0,0.0,64.5
111,RegionA,7.3466666667,272.895333,280.2419996667,378.326699550045,0.0,0.0,0.0,0.0,378.326699550045,0.0,0.0,499.32330044995496,0.0,0.0,64.5
112,RegionA,7.7213333333,228.568667,236.29000033330001,318.991500449955,0.0,0.0,0.0,0.0,318.991500449955,0.0,0.0,481.008499550045,0.0,0.0,64.5
113,RegionA,7.0906666667,222.519333,229.6099996667,309.973499550045,0.0,0.0,0.0,0.0,309.973499550045,0.0,0.0,412.376500449955,0.0,0.0,64.5
114,RegionA,10.1216666667,224.428333,234.54999966670002,316.64249955004504,0.0,0.0,0.0,0.0,316.64249955004504,0.0,0.0,333.35750044995496,0.0,0.0,64.5
115,RegionA,8.84,245.3,254.14000000000001,343.08900000000006,0.0,0.0,0.0,0.0,343.08900000000006,0.0,0.0,244.78099999999995,0.0,0.0,64.5
116,RegionA,8.7403333333,208.359667,217.1000003333,293.085000449955,0.0,0.0,0.0,0.0,293.085000449955,0.0,0.0,247.10499955004508,0.0,0.0,64.5
117,RegionA,4.296,243.404,247.7,334.395,0.0,0.0,0.0,0.0,334.395,0.0,0.0,175.82500000000005,0.0,0.0,64.5
118,RegionA,17.395,291.925,309.32,417.582,0.0,0.0,0.0,0.0,417.582,0.0,0.0,82.418,0.0,0.0,64.5
119,RegionA,36.7226666667,311.327333,348.0499996667,469.867499550045,0.0,0.0,0.0,0.0,469.867499550045,-0.0,0.0,40.352500449955016,0.0,0.0,64.5
120,RegionA,38.344,306.666,345.01,465.7635,0.0,0.0,0.0,0.0,465.7635,0.0,0.0,74.42650000000003,0.0,0.0,64.5
121,RegionA,37.0153333333,358.344667,395.36000033330004,533.7360004499551,0.0,0.0,0.0,0.0,533.7360004499551,0.0,0.0,54.133999550044905,0.0,0.0,64.5
122,RegionA,26.5376666667,376.662333,403.19999966669997,544.3199995500449,0.0,0.0,0.0,0.0,544.3199995500449,0.0,0.0,105.68000044995506,0.0,0.0,64.5
123,RegionA,25.1426666667,378.057333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,178.03000044995497,0.0,0.0,64.5
124,RegionA,21.7783333333,381.421667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,255.67999955004495,0.0,0.0,64.5
125,RegionA,15.324,387.876,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,333.3299999999999,0.0,0.0,64.5
126,RegionA,16.5333333333,386.666667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,0.0,64.5
127,RegionA,14.0146666667,389.185333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,467.81000044995494,0.0,0.0,64.5
128,RegionA,10.668,392.532,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,0.0,64.5
129,RegionA,8.476,394.724,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,545.4599999999999,0.0,0.0,64.5
130,RegionA,6.824,395.056,401.88,542.538,0.0,0.0,0.0,0.0,542.538,0.0,0.0,557.462,0.0,0.0,64.5
131,RegionA,7.0853333333,394.084667,401.17000033330004,541.579500449955,0.0,0.0,0.0,0.0,541.579500449955,0.0,0.0,548.2004995500449,0.0,0.0,64.5
132,RegionA,7.6786666667,354.341333,362.0199996667,488.72699955004504,0.0,0.0,0.0,0.0,488.72699955004504,0.0,0.0,571.0830004499549,0.0,0.0,64.5
133,RegionA,5.5493333333,341.941667,347.4910003333,469.11285044995503,0.0,0.0,0.0,0.0,469.11285044995503,0.0,0.0,543.0171495500449,0.0,0.0,64.5
134,RegionA,4.2326666667,306.775333,311.0079996667,419.86079955004504,0.0,0.0,0.0,0.0,419.86079955004504,0.0,0.0,530.139200449955,0.0,0.0,64.5
135,RegionA,3.648,280.622,284.27000000000004,383.76450000000006,0.0,0.0,0.0,0.0,383.76450000000006,0.0,0.0,493.8854999999999,0.0,0.0,64.5
136,RegionA,11.9466666667,214.743333,226.6899996667,306.031499550045,0.0,0.0,0.0,0.0,306.031499550045,0.0,0.0,493.968500449955,0.0,0.0,64.5
137,RegionA,15.3453333333,212.364667,227.7100003333,307.408500449955,0.0,0.0,0.0,0.0,307.408500449955,0.0,0.0,414.941499550045,0.0,0.0,64.5
138,RegionA,22.3866666667,206.013333,228.39999966669998,308.339999550045,0.0,0.0,0.0,0.0,308.339999550045,0.0,0.0,341.660000449955,0.0,0.0,64.5
139,RegionA,26.8266666667,199.123333,225.9499996667,305.03249955004503,0.0,0.0,0.0,0.0,305.03249955004503,0.0,0.0,282.837500449955,0.0,0.0,64.5
140,RegionA,38.3746666667,189.285333,227.6599996667,307.340999550045,0.0,0.0,0.0,0.0,307.340999550045,0.0,0.0,232.84900044995504,0.0,0.0,64.5
141,RegionA,19.8393333333,253.160667,273.00000033329997,368.55000044995495,0.0,0.0,0.0,0.0,368.55000044995495,0.0,0.0,141.66999955004508,0.0,0.0,64.5
142,RegionA,14.7853333333,286.014667,300.8000003333,406.080000449955,0.0,0.0,0.0,0.0,406.080000449955,0.0,0.0,93.91999955004502,0.0,0.0,64.5
143,RegionA,9.7666666667,318.133333,327.8999996667,442.664999550045,0.0,0.0,0.0,0.0,442.664999550045,-0.0,0.0,67.555000449955,0.0,0.0,64.5
144,RegionA,10.992,336.998,347.99,469.78650000000005,0.0,0.0,0.0,0.0,469.78650000000005,-0.0,0.0,70.40350000000001,0.0,0.0,64.5
145,RegionA,9.8363333333,350.883667,360.7200003333,486.97200044995503,0.0,0.0,0.0,0.0,486.97200044995503,0.0,0.0,100.89799955004497,0.0,0.0,64.5
146,RegionA,11.268,391.932,403.20000000000005,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,105.67999999999995,0.0,0.0,64.5
147,RegionA,8.6623333333,394.537667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,178.02999955004498,0.0,0.0,64.5
148,RegionA,34.022,369.178,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,255.67999999999995,0.0,0.0,64.5
149,RegionA,31.904,371.296,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,333.3299999999999,0.0,0.0,64.5
150,RegionA,54.7636666667,348.436333,403.19999966669997,544.3199995500449,0.0,0.0,0.0,0.0,544.3199995500449,0.0,0.0,405.68000044995506,0.0,0.0,64.5
151,RegionA,36.7493333333,366.450667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,467.80999955004495,0.0,0.0,64.5
152,RegionA,39.055,364.145,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,0.0,64.5
153,RegionA,40.3126666667,362.887333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,545.4600004499549,0.0,0.0,64.5
154,RegionA,41.1733333333,362.026667,403.20000033329995,544.3200004499549,0.0,0.0,0.0,0.0,544.3200004499549,0.0,0.0,555.6799995500451,0.0,0.0,64.5
155,RegionA,40.276,335.084,375.36,506.73600000000005,0.0,0.0,0.0,0.0,506.73600000000005,0.0,0.0,583.0439999999999,0.0,0.0,64.5
156,RegionA,25.4393333333,294.420667,319.8600003333,431.811000449955,0.0,0.0,0.0,0.0,431.811000449955,0.0,0.0,627.998999550045,0.0,0.0,64.5
157,RegionA,37.3266666667,300.667333,337.9939996667,456.29189955004506,0.0,0.0,0.0,0.0,456.29189955004506,0.0,0.0,555.8381004499549,0.0,0.0,64.5
158,RegionA,23.6213333333,298.799667,322.4210003333,435.26835044995505,0.0,0.0,0.0,0.0,435.26835044995505,0.0,0.0,514.731649550045,0.0,0.0,64.5
159,RegionA,23.692,267.128,290.82,392.607,0.0,0.0,0.0,0.0,392.607,0.0,0.0,485.04299999999995,0.0,0.0,64.5
160,RegionA,23.9306666667,263.229333,287.1599996667,387.665999550045,0.0,0.0,0.0,0.0,387.665999550045,0.0,0.0,412.334000449955,0.0,0.0,64.5
161,RegionA,27.58,207.14,234.71999999999997,316.87199999999996,0.0,0.0,0.0,0.0,316.87199999999996,0.0,0.0,405.47800000000007,0.0,0.0,64.5
162,RegionA,26.5,229.25,255.75,345.26250000000005,0.0,0.0,0.0,0.0,345.26250000000005,0.0,0.0,304.73749999999995,0.0,0.0,64.5
163,RegionA,32.5416666667,179.008333,211.5499996667,285.592499550045,0.0,0.0,0.0,0.0,285.592499550045,0.0,0.0,302.277500449955,0.0,0.0,64.5
164,RegionA,34.1953333333,199.314667,233.51000033329998,315.238500449955,0.0,0.0,0.0,0.0,315.238500449955,0.0,0.0,224.95149955004507,0.0,0.0,64.5
165,RegionA,34.187,187.963,222.14999999999998,299.9025,0.0,0.0,0.0,0.0,299.9025,0.0,0.0,210.31750000000005,0.0,0.0,64.5
166,RegionA,35.5666666667,266.513333,302.0799996667,407.80799955004505,0.0,0.0,0.0,0.0,407.80799955004505,-0.0,0.0,92.19200044995495,0.0,0.0,64.5
167,RegionA,22.408,309.352,331.76,447.87600000000003,0.0,0.0,0.0,0.0,447.87600000000003,0.0,0.0,62.343999999999994,0.0,0.0,64.5
168,RegionA,31.7493333333,301.320667,333.0700003333,449.64450044995505,0.0,0.0,0.0,0.0,449.64450044995505,0.0,0.0,90.54549955004501,0.0,0.0,64.5
